,start_frame,peak_frame,end_frame,duration,start_brightness,peak_brightness,end_brightness,next_intervals,next_intervals_count,prev_intervals,prev_intervals_count,ratios,ratios_count,prev_interval,next_interval
95,2713.0,2715.0,2718.0,6.0,9.470126666913812e-05,0.0001084270547342,9.45818347177002e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,33.0
96,2744.0,2748.0,2751.0,8.0,8.556318574239665e-05,0.0001082449402143,9.083871829662406e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,33.0,45.0
97,2792.0,2793.0,2793.0,2.0,8.644451837427227e-05,0.0001075452555724,0.0001075452555724,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,45.0,45.0
98,2837.0,2838.0,2838.0,2.0,8.884331661432592e-05,0.0001136605257935,0.0001136605257935,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,45.0,33.0
99,2867.0,2871.0,2872.0,6.0,8.469657683443916e-05,0.0001483031869747,9.603514404005228e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,33.0,45.0
100,2915.0,2916.0,2916.0,2.0,9.799929250079588e-05,0.0001454219484055,0.0001454219484055,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,45.0,45.0
101,2957.0,2961.0,2963.0,7.0,8.848132455064613e-05,0.0001070767448057,9.244240808147843e-05,"['0.13', '0.5', '1.0']",3,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,45.0,4.0
102,2965.0,2965.0,2965.0,1.0,8.765007600543274e-05,8.765007600543274e-05,8.765007600543274e-05,[],0,[],0,[1.],1,4.0,27.0
103,2990.0,2992.0,2995.0,6.0,9.314059606494312e-05,0.000102658203558,9.157490552982329e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,27.0,46.0
104,3037.0,3038.0,3038.0,2.0,8.478770453922847e-05,0.0001072560560177,0.0001072560560177,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,46.0,44.0
105,3080.0,3082.0,3083.0,4.0,8.70158203257191e-05,0.0001025367393052,8.688072196973274e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,33.0
106,3114.0,3115.0,3118.0,5.0,0.0001039616351694,0.0001529612498843,8.55723368336677e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,33.0,46.0
